"Section","Variable","Source","Model","ScalarName","AnalysisType","Region","ScalarType","Units","Data","Weight"
"HyrdologyCycle","Evapotranspiration","GLEAMv3.3a","CABLE-POP","Benchmark Period Mean (intersection)","MeanState","above","scalar","g/m2/s","0.0103879","1.0"
"HyrdologyCycle","Evapotranspiration","GLEAMv3.3a","CABLE-POP","Benchmark Period Mean (complement)","MeanState","above","scalar","g/m2/s","0.0077076","1.0"
"HyrdologyCycle","Evapotranspiration","GLEAMv3.3a","CABLE-POP","Period Mean (original grids)","MeanState","above","scalar","g/m2/s","0.00803223","1.0"
"HyrdologyCycle","Evapotranspiration","GLEAMv3.3a","CABLE-POP","Model Period Mean (intersection)","MeanState","above","scalar","g/m2/s","0.00807038","1.0"
"HyrdologyCycle","Evapotranspiration","GLEAMv3.3a","CABLE-POP","Model Period Mean (complement)","MeanState","above","scalar","g/m2/s","0.00775325","1.0"
"HyrdologyCycle","Evapotranspiration","GLEAMv3.3a","CABLE-POP","Spatial Distribution Score","MeanState","global","score","1","0.940791","1.0"
"HyrdologyCycle","Evapotranspiration","GLEAMv3.3a","CABLE-POP","Spatial Distribution Score","MeanState","above","score","1","0.773505","1.0"
"HyrdologyCycle","Evapotranspiration","GLEAMv3.3a","CABLE-POP","Phase Shift","MeanState","global","scalar","months","1.27779","1.0"
"HyrdologyCycle","Evapotranspiration","GLEAMv3.3a","CABLE-POP","Seasonal Cycle Score","MeanState","global","score","1","0.819076","1.0"
"HyrdologyCycle","Evapotranspiration","GLEAMv3.3a","CABLE-POP","Phase Shift","MeanState","above","scalar","months","0.446282","1.0"
"HyrdologyCycle","Evapotranspiration","GLEAMv3.3a","CABLE-POP","Seasonal Cycle Score","MeanState","above","score","1","0.968881","1.0"
"HyrdologyCycle","Evapotranspiration","GLEAMv3.3a","CABLE-POP","Bias","MeanState","global","scalar","g/m2/s","-0.00103958","1.0"
"HyrdologyCycle","Evapotranspiration","GLEAMv3.3a","CABLE-POP","Bias Score","MeanState","global","score","1","0.65277","1.0"
"HyrdologyCycle","Evapotranspiration","GLEAMv3.3a","CABLE-POP","Bias","MeanState","above","scalar","g/m2/s","-0.00231749","1.0"
"HyrdologyCycle","Evapotranspiration","GLEAMv3.3a","CABLE-POP","Bias Score","MeanState","above","score","1","0.758243","1.0"
"HyrdologyCycle","Evapotranspiration","GLEAMv3.3a","CABLE-POP","RMSE","MeanState","global","scalar","g/m2/s","0.00622618","1.0"
"HyrdologyCycle","Evapotranspiration","GLEAMv3.3a","CABLE-POP","RMSE Score","MeanState","global","score","1","0.61829","1.0"
"HyrdologyCycle","Evapotranspiration","GLEAMv3.3a","CABLE-POP","RMSE","MeanState","above","scalar","g/m2/s","0.00607879","1.0"
"HyrdologyCycle","Evapotranspiration","GLEAMv3.3a","CABLE-POP","RMSE Score","MeanState","above","score","1","0.676546","1.0"
"HyrdologyCycle","Evapotranspiration","GLEAMv3.3a","CABLE-POP","Overall Score","MeanState","global","score","1","0.729844","1.0"
"HyrdologyCycle","Evapotranspiration","GLEAMv3.3a","CABLE-POP","Overall Score","MeanState","above","score","1","0.770744","1.0"
"HyrdologyCycle","Evapotranspiration","GLEAMv3.3a","ORCHIDEE-CNP","Benchmark Period Mean (intersection)","MeanState","global","scalar","g/m2/s","0.01739","1.0"
"HyrdologyCycle","Evapotranspiration","GLEAMv3.3a","ORCHIDEE-CNP","Benchmark Period Mean (complement)","MeanState","global","scalar","g/m2/s","0.000257961","1.0"
"HyrdologyCycle","Evapotranspiration","GLEAMv3.3a","ORCHIDEE-CNP","Period Mean (original grids)","MeanState","global","scalar","g/m2/s","0.0162712","1.0"
"HyrdologyCycle","Evapotranspiration","GLEAMv3.3a","ORCHIDEE-CNP","Model Period Mean (intersection)","MeanState","global","scalar","g/m2/s","0.0150944","1.0"
